Date,Open,High,Low,Close,Volume,Adj Close
2014-09-08,39.16,39.43,39.02,39.07,2615500,39.07
2014-09-09,39.02,39.099998,38.549999,38.68,2520200,38.68
2014-09-10,38.650002,38.720001,37.810001,38.389999,5105300,38.389999
2014-09-11,43.700001,45.490002,42.650002,43.73,28289600,43.73
2014-09-12,43.68,45.5,43.619999,45.189999,8978000,45.189999
2014-09-15,44.650002,45.080002,43.709999,44.200001,3445300,44.200001
2014-09-16,43.939999,44.299999,43.169998,43.439999,3033200,43.439999
2014-09-17,43.419998,44.27,43.380001,44.009998,2645300,44.009998
2014-09-18,44.02,44.709999,43.860001,44.299999,1970000,44.299999
2014-09-19,44.509998,44.77,42.849998,43.240002,3291100,43.240002
2014-09-22,43.470001,43.549999,41.619999,41.73,2264200,41.73
2014-09-23,41.630001,42.490002,41.52,41.959999,3220500,41.959999
2014-09-24,42.0,42.830002,41.830002,42.66,1925200,42.66
2014-09-25,42.450001,42.75,41.66,42.23,1511500,42.23
2014-09-26,42.27,43.130001,42.049999,42.990002,2036300,42.990002
2014-09-29,42.560001,42.66,42.040001,42.27,1491200,42.27
2014-09-30,42.150002,42.459999,41.630001,42.009998,1933900,42.009998
2014-10-01,41.82,42.009998,41.189999,41.459999,2199900,41.459999
2014-10-02,41.43,42.66,40.07,42.360001,4868500,42.360001
2014-10-03,42.580002,43.0,41.869999,42.07,1857100,42.07
2014-10-06,42.389999,42.389999,41.07,41.330002,1374800,41.330002
2014-10-07,40.91,41.240002,40.650002,41.0,1435500,41.0
2014-10-08,41.169998,42.32,40.91,42.23,1942500,42.23
2014-10-09,41.959999,42.0,40.93,41.07,1830200,41.07
2014-10-10,41.080002,41.330002,40.049999,40.349998,1495900,40.349998
2014-10-13,40.369999,40.66,39.009998,39.080002,2510900,39.080002
2014-10-14,39.220001,40.200001,39.150002,39.439999,3898500,39.439999
2014-10-15,38.990002,39.849998,37.860001,39.599998,2233700,39.599998
2014-10-16,38.669998,40.07,38.259998,40.0,2593000,40.0
2014-10-17,40.27,40.369999,38.669998,38.84,1653200,38.84
2014-10-20,38.869999,40.599998,38.75,40.490002,2779100,40.490002
2014-10-21,40.740002,41.279999,40.619999,41.200001,1223800,41.200001
2014-10-22,41.200001,42.09,40.849998,40.849998,1452600,40.849998
2014-10-23,41.509998,42.369999,40.939999,41.41,1483900,41.41
2014-10-24,41.389999,41.73,40.799999,41.400002,849900,41.400002
2014-10-27,41.119999,41.84,40.369999,41.509998,1182400,41.509998
2014-10-28,41.5,41.77,40.75,41.73,1207000,41.73
2014-10-29,41.5,41.68,40.75,41.18,1238800,41.18
2014-10-30,40.560001,42.060001,40.48,41.68,1059700,41.68
2014-10-31,42.130001,42.240002,41.43,41.650002,1082200,41.650002
